Приложение,Параллельность,Глубина,Запросы_всего,Запросы_успешные,Запросы_неудачные,Запросы_несовпадения,Первый_запрос_мс,Первая_пачка_мс,RPS,Среднее_время_мс,Мин_время_мс,Макс_время_мс,Медиана_мс,P90_мс,P95_мс,P99_мс,Тест_длительность_с,Среднее_CPU,Макс_CPU,Средняя_память_МБ,Макс_память_МБ,Время_запуска_с
java-fixedThreads24,32,1,44535,44535,0,0,106,108,22219.88,1,0,108,1,2,3,5,2.00,1071.90,1419.00,1225.00,1543.28,2.25
java-fixedThreads24,32,16,2288,2288,0,0,186,206,1140.18,28,5,206,26,42,55,196,2.01,1089.90,1491.00,1498.11,2394.15,2.26
java-fixedThreads24,32,32,905,905,0,0,326,359,449.21,71,12,359,72,115,148,346,2.01,1058.90,1460.00,1408.61,2405.71,2.28
java-fixedThreads24,32,64,491,491,0,0,562,597,238.98,132,50,597,89,183,581,593,2.05,1011.40,1412.00,1953.32,2915.90,2.27
java-fixedThreads24,32,128,160,160,0,0,985,1009,72.74,428,166,1009,316,999,1002,1006,2.20,898.70,1295.00,2203.23,4179.77,2.28
java-fixedThreads24,64,1,41590,41590,0,0,97,103,20746.23,3,0,109,2,5,6,10,2.00,1086.30,1471.00,1178.43,1313.78,2.27
java-fixedThreads24,64,16,2074,2074,0,0,282,314,1032.41,61,10,314,53,78,115,304,2.01,1081.60,1530.00,1589.26,2417.07,2.28
java-fixedThreads24,64,32,1058,1058,0,0,512,543,518.54,122,31,543,91,205,528,541,2.04,1022.10,1441.00,1958.77,3423.27,2.28
java-fixedThreads24,64,64,423,423,0,0,816,893,202.03,309,38,893,217,824,829,838,2.09,1016.10,1401.00,2164.62,3400.30,2.28
java-fixedThreads24,64,128,130,130,0,0,1549,1648,57.05,1070,298,1648,622,1642,1642,1646,2.28,1051.36,1516.00,2717.96,5040.81,2.28
java-fixedThreads24,128,1,45721,45721,0,0,94,111,22793.29,5,0,120,4,10,13,21,2.01,1124.50,1497.00,1187.03,1310.89,2.26
java-fixedThreads24,128,16,2099,2099,0,0,335,475,1016.25,123,47,514,102,166,345,465,2.07,1074.10,1531.00,1676.14,2958.05,2.27
java-fixedThreads24,128,32,1085,1085,0,0,510,884,517.01,240,23,957,171,629,739,837,2.10,1072.70,1488.00,2169.75,3091.54,2.28
java-fixedThreads24,128,64,405,405,0,0,928,1218,174.49,683,31,1289,590,1060,1078,1228,2.32,1058.27,1408.00,2811.60,4820.13,2.26
java-fixedThreads24,128,128,238,238,0,0,1753,2297,80.60,1454,572,2296,1778,1904,2247,2282,2.95,1119.79,1548.00,4049.44,7802.59,2.28
java-fixedThreads24,256,1,42208,42208,0,0,115,146,20996.47,12,0,204,9,19,25,44,2.01,1123.60,1532.00,1381.65,1807.16,2.28
java-fixedThreads24,256,16,2448,2448,0,0,437,716,1147.53,213,38,922,174,456,585,742,2.13,1071.70,1499.00,2245.84,3784.24,2.29
java-fixedThreads24,256,32,959,959,0,0,733,1283,423.72,573,150,1368,492,978,1065,1238,2.26,1072.91,1495.00,2684.30,4801.93,2.28
java-fixedThreads24,256,64,295,295,0,0,1438,2670,107.93,2136,686,2699,2429,2605,2655,2669,2.73,1107.23,1626.00,3085.76,4850.00,2.27
java-fixedThreads24,512,1,37870,37870,0,0,149,203,18781.10,27,2,229,19,52,75,161,2.02,1118.70,1543.00,1574.25,2302.26,2.27
java-fixedThreads24,512,16,2231,2231,5,0,588,1130,976.08,482,13,1600,417,927,1062,1268,2.29,1022.55,1442.00,2638.79,4481.29,2.28
java-fixedThreads24,512,32,997,997,1,0,999,2042,387.53,1188,66,2342,1228,1649,1961,2198,2.58,1105.50,1502.00,3105.61,5049.46,2.27
java-fixedThreads24,1024,1,39221,39221,0,0,177,300,19376.77,52,1,536,35,111,165,264,2.02,1106.60,1531.00,1613.96,2233.40,2.27
java-fixedThreads24,1024,16,2418,2418,0,0,511,1736,946.39,973,202,2493,923,1657,1919,2215,2.55,1185.08,1627.00,3368.53,6162.71,2.26
java-fixedThreads24,1024,32,1241,1241,0,0,1288,3030,374.79,2191,287,3302,2234,2995,3076,3273,3.31,1108.75,1608.00,4301.98,8140.26,2.28
java-fixedThreads24,2048,1,34616,34616,0,0,240,455,16933.75,119,1,987,96,254,323,626,2.04,1055.20,1489.00,1891.96,3156.50,2.29
java-fixedThreads24,2048,16,2758,2758,0,0,941,3235,788.27,2207,203,3495,2007,3311,3391,3456,3.50,1258.18,1690.00,4585.63,7859.46,2.30
java-fixedThreads24,4096,1,27210,27210,0,0,371,805,12876.78,309,3,2012,221,756,1231,1599,2.11,970.60,1404.00,1972.07,3105.66,2.30
java-fixedThreads24,4096,16,4541,4541,27,0,687,6280,704.52,4381,158,6479,4763,6279,6369,6452,6.48,1650.56,2190.00,5985.45,8525.15,2.30
java-fixedThreads24,8192,1,33795,33795,0,0,545,1136,12876.16,546,1,2598,255,1553,1888,2336,2.62,1106.54,1455.00,3010.16,4362.84,2.30
java-fixedThreads24,8192,16,8207,1572,6668,0,1020,7005,179.01,5006,252,7757,5275,6634,6787,6896,7.01,1715.40,2322.00,6441.47,9133.99,2.32
java-fixedThreads24,16384,1,36806,36806,6,0,819,1852,11942.36,1064,4,3054,841,2527,2639,2860,3.08,1171.07,1576.00,3686.42,5803.85,2.29
java-fixedThreads24,16384,16,13454,3887,9704,0,1882,17012,310.88,8537,1861,17931,8290,13758,15410,16727,17.01,2194.04,2685.00,8008.08,13019.15,2.38
java-fixedThreads24,32768,1,32768,32768,0,0,2568,5460,5964.60,3889,2527,5458,3851,5059,5234,5349,5.49,1574.65,2056.00,3948.34,6408.55,2.28
go-stdlib,32,1,253163,253163,0,0,7,37,125378.58,0,0,40,0,0,0,1,2.02,587.60,840.00,45.46,47.27,1.20
go-stdlib,32,16,25318,25318,0,0,144,145,12638.30,2,1,145,2,3,4,5,2.00,769.60,1098.00,185.66,185.69,1.20
go-stdlib,32,32,11611,11611,0,0,275,278,5793.89,5,2,278,4,7,8,9,2.00,840.40,1214.00,320.27,341.43,1.19
go-stdlib,32,64,4384,4384,0,0,443,455,2179.27,14,7,454,10,16,17,19,2.01,953.20,1369.00,574.61,658.93,1.20
go-stdlib,32,128,1236,1236,0,0,815,825,611.20,52,21,825,29,39,42,822,2.02,1014.30,1469.00,951.95,1299.42,1.20
go-stdlib,64,1,311000,311000,0,0,17,42,153550.20,0,0,42,0,0,1,2,2.03,673.20,967.00,54.56,55.20,1.19
go-stdlib,64,16,24023,24023,0,0,130,134,11987.28,5,1,135,4,7,9,15,2.00,636.80,998.00,309.38,316.04,1.20
go-stdlib,64,32,11926,11926,0,0,132,142,5923.97,10,3,141,9,15,16,19,2.01,766.10,1149.00,563.82,573.26,1.19
go-stdlib,64,64,4384,4384,0,0,274,287,2175.93,29,13,287,23,35,38,280,2.01,766.79,1210.00,1007.92,1091.64,1.19
go-stdlib,64,128,1456,1456,0,0,439,475,712.67,89,41,474,70,93,109,470,2.04,734.98,1187.00,1955.28,2215.55,1.18
go-stdlib,128,1,325186,325186,0,0,40,66,160617.74,0,0,67,0,1,2,3,2.02,668.20,969.00,67.15,69.39,1.18
go-stdlib,128,16,22686,22686,0,0,186,202,11304.81,11,1,202,9,16,18,38,2.01,656.88,999.00,534.61,569.66,1.18
go-stdlib,128,32,10102,10102,0,0,227,249,5013.75,25,6,250,21,33,37,237,2.01,701.40,1076.00,1014.09,1107.98,1.18
go-stdlib,128,64,3790,3790,0,0,322,380,1861.11,68,29,380,55,80,86,368,2.04,710.31,1115.00,1750.83,1980.11,1.18
go-stdlib,128,128,1223,1223,0,0,572,681,581.20,215,96,680,170,609,659,672,2.10,679.52,1090.00,3426.18,4219.45,1.18
go-stdlib,256,1,349308,349308,0,0,93,94,172301.96,1,0,98,0,3,4,6,2.03,669.80,999.00,108.20,109.29,1.18
go-stdlib,256,16,20637,20637,0,0,252,273,10184.23,24,2,282,20,33,39,258,2.03,627.19,974.00,974.44,1111.78,1.18
go-stdlib,256,32,7894,7894,0,0,348,408,3877.44,65,22,411,52,76,86,396,2.04,611.05,966.00,1900.77,2196.26,1.18
go-stdlib,256,64,3087,3087,0,0,500,681,1480.59,170,61,684,131,185,590,620,2.08,648.11,1046.00,2867.86,3587.25,1.18
go-stdlib,256,128,927,927,0,0,859,1230,413.83,588,230,1229,409,1191,1201,1216,2.24,643.39,1024.00,5246.96,8064.46,1.18
go-stdlib,512,1,338782,338782,0,0,99,131,166007.47,3,0,142,1,7,9,15,2.04,651.10,972.00,203.06,205.52,1.18
go-stdlib,512,16,19256,19256,1,0,293,351,9481.52,53,4,368,45,70,81,333,2.03,641.40,990.00,1526.12,1854.71,1.18
go-stdlib,512,32,6453,6453,0,0,487,654,3102.03,162,46,680,123,182,605,636,2.08,591.41,921.00,2961.45,3773.91,1.18
go-stdlib,512,64,2092,2092,0,0,897,1205,943.93,523,163,1208,357,1146,1164,1184,2.22,603.99,912.00,4761.69,6679.18,1.18
go-stdlib,512,128,512,512,0,0,4652,5939,86.19,5825,4649,5939,5873,5928,5933,5936,5.94,1518.43,2183.00,7304.78,11181.16,1.18
go-stdlib,1024,1,334518,334518,0,0,127,150,164790.73,6,0,179,1,14,20,36,2.03,643.60,968.00,359.73,371.50,1.19
go-stdlib,1024,16,13300,13300,0,0,482,623,6395.07,157,20,668,123,192,561,603,2.08,557.22,841.00,3008.16,3807.21,1.19
go-stdlib,1024,32,4346,4346,1,0,870,1165,1973.42,499,137,1181,357,1086,1114,1145,2.20,565.07,827.00,4585.90,6423.84,1.19
go-stdlib,1024,64,1024,1024,1,0,4591,5668,180.79,5525,4590,5667,5594,5657,5661,5665,5.67,1513.75,2186.00,7144.36,11136.30,1.19
go-stdlib,2048,1,292753,292753,2,0,166,196,144313.54,13,0,286,13,31,44,84,2.03,590.02,910.00,674.38,739.36,1.19
go-stdlib,2048,16,9027,9027,0,0,760,1183,4085.89,481,106,1243,334,1089,1122,1167,2.21,567.51,766.00,4616.89,6657.73,1.19
go-stdlib,2048,32,2048,2048,0,0,4814,5383,380.27,5248,4811,5382,5286,5369,5376,5381,5.39,1452.58,2153.00,6617.45,10083.07,1.19
go-stdlib,4096,1,258577,258577,0,0,256,293,126938.11,31,0,493,29,73,97,289,2.04,584.16,895.00,1157.91,1401.54,1.19
go-stdlib,4096,16,4096,4096,25,0,4709,5891,698.91,5753,4703,5890,5800,5878,5884,5888,5.90,1567.98,2237.00,6717.32,10211.10,1.20
go-stdlib,8192,1,209185,209185,0,0,233,449,101207.22,78,0,674,59,173,234,439,2.07,555.79,856.00,2005.64,2512.91,1.20
go-stdlib,8192,16,90,90,28,0,7688,7008,3.99,0,7679,12217,0,0,0,0,7.01,1701.64,2425.00,6783.00,9451.42,1.21
go-stdlib,16384,1,163694,163694,0,0,265,742,76729.55,203,0,1355,125,531,709,909,2.13,617.89,888.00,3207.62,4132.21,1.17
go-stdlib,16384,16,5265,5265,141,0,6423,17013,160.93,12359,6389,22307,13474,15774,15957,16188,17.01,2237.23,2792.00,7147.15,8639.97,1.23
go-stdlib,32768,1,33177,33177,0,0,290,4779,6883.63,4307,161,4712,4531,4626,4633,4702,4.82,1495.28,2138.00,2418.15,5304.45,1.18
java-virtualThreads,32,1,15442,15442,0,0,89,90,7702.79,4,0,90,2,9,11,16,2.00,958.00,1338.00,1127.48,1288.26,2.68
java-virtualThreads,32,16,483,483,0,0,225,257,233.95,134,37,265,129,198,235,252,2.06,945.90,1369.00,1024.49,1224.05,2.70
java-virtualThreads,32,32,227,227,0,0,427,480,105.32,287,134,479,270,453,463,474,2.16,921.90,1349.00,1072.34,1432.32,2.70
java-virtualThreads,32,64,487,487,0,0,564,590,238.94,131,36,590,93,214,570,585,2.04,861.20,1228.00,1872.50,2758.77,2.65
java-virtualThreads,32,128,89,89,0,0,957,1509,23.84,984,65,2213,1102,1799,2005,2213,3.73,763.72,924.00,1880.63,2328.82,2.66
java-virtualThreads,64,1,45312,45312,0,0,119,125,22588.92,2,0,126,2,5,6,10,2.01,907.90,1246.00,1220.08,1560.65,2.67
java-virtualThreads,64,16,1921,1921,0,0,276,303,940.03,67,33,303,52,94,129,298,2.04,908.30,1325.00,1521.75,2613.19,2.67
java-virtualThreads,64,32,617,617,0,0,513,568,291.46,215,104,568,163,519,547,565,2.12,887.50,1312.00,1586.45,2200.62,2.66
java-virtualThreads,64,64,385,385,0,0,802,888,180.60,344,112,887,247,835,840,844,2.13,856.60,1231.00,2202.90,3395.84,2.65
java-virtualThreads,64,128,121,121,0,0,1363,2145,35.11,1249,50,2774,1514,2168,2358,2574,3.45,882.71,1107.00,3500.73,4896.01,2.67
java-virtualThreads,128,1,44683,44683,0,0,103,116,22273.95,5,0,132,4,10,13,20,2.01,949.70,1305.00,1181.79,1317.91,2.66
java-virtualThreads,128,16,1959,1959,0,0,379,533,940.65,133,49,562,110,162,411,485,2.08,903.70,1330.00,1565.01,2651.03,2.64
java-virtualThreads,128,32,1031,1031,0,0,628,799,489.63,254,28,817,193,682,703,777,2.11,886.90,1271.00,2364.81,4321.20,2.66
java-virtualThreads,128,64,402,402,0,0,1015,1262,181.87,674,50,1361,617,1101,1118,1260,2.21,884.82,1250.00,2789.39,4541.30,2.66
java-virtualThreads,128,128,145,145,0,0,1878,3236,35.02,2324,64,3667,2421,3027,3258,3666,4.14,974.55,1246.00,4035.41,5173.09,2.64
java-virtualThreads,256,1,42900,42900,0,0,142,162,21359.15,11,0,178,8,20,26,50,2.01,945.10,1311.00,1390.14,1855.08,2.65
